service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1902,0,0,0,0,0,0,0,20170719,20170930
1903,0,0,0,0,0,0,0,20170719,20170930
47801,1,1,1,1,1,0,0,20170719,20170722
47802,1,1,1,1,0,0,0,20170719,20170722
47803,0,1,1,1,1,0,0,20170719,20170722
47804,0,1,1,1,1,0,0,20170719,20170722
47805,0,0,0,0,1,0,0,20170719,20170722
47806,0,0,0,0,0,1,0,20170719,20170722
47807,0,0,0,0,0,1,0,20170719,20170722
47808,0,0,0,0,0,0,1,20170719,20170722
47809,0,0,0,0,0,0,1,20170719,20170722
47810,0,0,1,1,1,1,0,20170719,20170722
47811,0,1,1,1,1,1,0,20170719,20170722
47812,0,1,1,1,1,1,0,20170719,20170722
47813,1,0,0,0,0,0,0,20170719,20170722
47814,1,0,0,0,0,0,0,20170719,20170722
47815,1,0,0,0,0,0,0,20170719,20170722
47816,0,1,0,0,0,0,0,20170719,20170722
47817,0,1,0,0,0,0,0,20170719,20170722
47818,1,0,1,1,1,0,0,20170719,20170722
47819,1,0,1,1,1,0,0,20170719,20170722
47820,0,0,1,0,0,0,0,20170719,20170722
47821,0,0,1,0,0,0,0,20170719,20170722
47822,1,1,0,1,1,0,0,20170719,20170722
47823,1,1,0,1,1,0,0,20170719,20170722
47824,0,0,0,1,0,0,0,20170719,20170722
47825,0,0,0,1,0,0,0,20170719,20170722
47826,1,1,1,0,1,0,0,20170719,20170722
47827,1,1,1,0,1,0,0,20170719,20170722
47828,0,1,1,0,0,0,0,20170719,20170722
47829,0,1,1,0,0,0,0,20170719,20170722
47830,1,0,0,1,1,0,0,20170719,20170722
47831,1,0,0,1,1,0,0,20170719,20170722
47832,1,1,0,0,1,0,0,20170719,20170722
47833,1,1,0,0,1,0,0,20170719,20170722
47834,1,1,1,1,1,0,1,20170719,20170722
47835,1,1,1,1,1,0,1,20170719,20170722
47836,1,1,1,1,1,1,0,20170719,20170722
47837,1,1,1,1,1,1,0,20170719,20170722
47838,1,1,1,1,1,1,0,20170719,20170722
47839,1,1,1,1,1,0,0,20170719,20170722
47840,1,1,1,1,0,0,1,20170719,20170722
47901,1,1,1,1,1,0,0,20170723,20170930
47902,1,1,1,1,0,0,0,20170723,20170930
47903,0,1,1,1,1,0,0,20170723,20170930
47904,0,1,1,1,1,0,0,20170723,20170930
47905,0,0,0,0,1,0,0,20170723,20170930
47906,0,0,0,0,0,1,0,20170723,20170930
47907,0,0,0,0,0,1,0,20170723,20170930
47908,0,0,0,0,0,0,1,20170723,20170930
47909,0,0,0,0,0,0,1,20170723,20170930
47910,0,0,1,1,1,1,0,20170723,20170930
47911,0,1,1,1,1,1,0,20170723,20170930
47912,0,1,1,1,1,1,0,20170723,20170930
47913,1,0,0,0,0,0,0,20170723,20170930
47914,1,0,0,0,0,0,0,20170723,20170930
47915,1,0,0,0,0,0,0,20170723,20170930
47916,0,1,0,0,0,0,0,20170723,20170930
47917,0,1,0,0,0,0,0,20170723,20170930
47918,1,0,1,1,1,0,0,20170723,20170930
47919,1,0,1,1,1,0,0,20170723,20170930
47920,0,0,1,0,0,0,0,20170723,20170930
47921,0,0,1,0,0,0,0,20170723,20170930
47922,1,1,0,1,1,0,0,20170723,20170930
47923,1,1,0,1,1,0,0,20170723,20170930
47924,0,0,0,1,0,0,0,20170723,20170930
47925,0,0,0,1,0,0,0,20170723,20170930
47926,1,1,1,0,1,0,0,20170723,20170930
47927,1,1,1,0,1,0,0,20170723,20170930
47928,0,1,1,0,0,0,0,20170723,20170930
47929,0,1,1,0,0,0,0,20170723,20170930
47930,1,0,0,1,1,0,0,20170723,20170930
47931,1,0,0,1,1,0,0,20170723,20170930
47932,1,1,0,0,1,0,0,20170723,20170930
47933,1,1,0,0,1,0,0,20170723,20170930
47934,1,1,1,1,1,0,1,20170723,20170930
47935,1,1,1,1,1,0,1,20170723,20170930
47936,1,1,1,1,1,1,0,20170723,20170930
47937,1,1,1,1,1,1,0,20170723,20170930
47938,1,1,1,1,1,1,0,20170723,20170930
47939,1,1,1,1,1,0,0,20170723,20170930
47940,1,1,1,1,0,0,1,20170723,20170930
105301,1,1,1,1,1,0,0,20170719,20170930
105302,1,1,1,1,0,0,0,20170719,20170930
105303,0,1,1,1,1,0,0,20170719,20170930
105304,0,1,1,1,1,0,0,20170719,20170930
105305,0,0,0,0,1,0,0,20170719,20170930
105306,0,0,0,0,0,1,0,20170719,20170930
105307,0,0,0,0,0,1,0,20170719,20170930
105308,0,0,0,0,0,0,1,20170719,20170930
105309,0,0,0,0,0,0,1,20170719,20170930
105310,0,0,1,1,1,1,0,20170719,20170930
105311,0,1,1,1,1,1,0,20170719,20170930
105312,0,1,1,1,1,1,0,20170719,20170930
105313,1,0,0,0,0,0,0,20170719,20170930
105314,1,0,0,0,0,0,0,20170719,20170930
105315,1,0,0,0,0,0,0,20170719,20170930
105316,0,1,0,0,0,0,0,20170719,20170930
105317,0,1,0,0,0,0,0,20170719,20170930
105318,1,0,1,1,1,0,0,20170719,20170930
105319,1,0,1,1,1,0,0,20170719,20170930
105320,0,0,1,0,0,0,0,20170719,20170930
105321,0,0,1,0,0,0,0,20170719,20170930
105322,1,1,0,1,1,0,0,20170719,20170930
105323,1,1,0,1,1,0,0,20170719,20170930
105324,0,0,0,1,0,0,0,20170719,20170930
105325,0,0,0,1,0,0,0,20170719,20170930
105326,1,1,1,0,1,0,0,20170719,20170930
105327,1,1,1,0,1,0,0,20170719,20170930
