service_id,date,exception_type
1902,20170816,1
1903,20170722,1
1903,20170723,1
1903,20170724,1
1903,20170818,1
1903,20170819,1
47901,20170904,2
47902,20170904,2
47903,20170904,2
47904,20170905,2
47905,20170904,2
47906,20170904,2
47907,20170905,2
47908,20170905,2
47909,20170904,1
47910,20170905,2
47911,20170904,2
47912,20170905,2
47913,20170904,2
47914,20170905,2
47915,20170905,1
47916,20170904,2
47917,20170905,2
47918,20170904,2
47919,20170905,2
47920,20170904,2
47921,20170905,2
47922,20170904,2
47923,20170905,2
47924,20170904,2
47925,20170905,2
47926,20170904,2
47927,20170905,2
47928,20170904,2
47929,20170905,2
47930,20170904,2
47931,20170905,2
47932,20170904,2
47933,20170905,2
47934,20170904,2
47935,20170905,2
47936,20170904,2
47937,20170905,2
47938,20170905,1
47939,20170905,1
47940,20170904,1
105301,20170904,2
105302,20170904,2
105303,20170904,2
105304,20170905,2
105305,20170904,2
105306,20170904,2
105307,20170905,2
105308,20170905,2
105309,20170904,1
105310,20170905,2
105311,20170904,2
105312,20170905,2
105313,20170904,2
105314,20170905,2
105315,20170905,1
105316,20170904,2
105317,20170905,2
105318,20170904,2
105319,20170905,2
105320,20170904,2
105321,20170905,2
105322,20170904,2
105323,20170905,2
105324,20170904,2
105325,20170905,2
105326,20170904,2
105327,20170905,2
105328,20170904,2
105329,20170905,2
105330,20170904,2
105331,20170905,2
105332,20170904,2
105333,20170905,2
105334,20170904,2
105335,20170905,2
105336,20170904,2
105337,20170905,2
105338,20170905,1
105339,20170905,1
105340,20170904,1
205301,20170904,2
