route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,Bronzeville/Union Station,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=158,,
2,2,Hyde Park Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=159,,
3,3,King Drive,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=160,,
4,4,Cottage Grove,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=162,,
5,5,South Shore Night Bus,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=164,,
6,6,Jackson Park Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=165,,
7,7,Harrison,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=166,,
8,8,Halsted,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=167,,
8A,8A,South Halsted,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=168,,
9,9,Ashland,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=169,,
X9,X9,Ashland Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=170,,
10,10,Museum of S & I,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=171,,
11,11,Lincoln,bus,http://www.transitchicago.com/bus/11/,,
12,12,Roosevelt,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=173,,
J14,J14,Jeffery Jump,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=174,,
15,15,Jeffery Local,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=175,,
18,18,16th-18th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=177,,
19,19,United Center Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=325,,
20,20,Madison,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=178,,
21,21,Cermak,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=180,,
22,22,Clark,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=181,,
24,24,Wentworth,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=182,,
26,26,South Shore Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=183,,
28,28,Stony Island,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=184,,
29,29,State,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=186,,
31,31,31st,bus,http://www.transitchicago.com/bus/31/,,
30,30,South Chicago,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=187,,
34,34,South Michigan,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=189,,
35,35,35th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=190,,
36,36,Broadway,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=191,,
37,37,Sedgwick,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=335,,
39,39,Pershing,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=193,,
43,43,43rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=194,,
44,44,Wallace-Racine,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=195,,
47,47,47th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=196,,
48,48,South Damen,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=197,,
49,49,Western,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=198,,
49B,49B,North Western,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=200,,
X49,X49,Western Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=201,,
50,50,Damen,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=202,,
51,51,51st,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=203,,
52,52,Kedzie/California,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=204,,
52A,52A,South Kedzie,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=205,,
53,53,Pulaski,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=206,,
